instrument,idx,ts,last_close,pred_ret,gen_sd,gen_distinct,p_up,pred_rv
CADJPY,10336,2026-03-01 23:00:00,114.459,-0.00023524825224552348,0.10715084422326157,19,0.5,0.0007388470509950212
CADUSD,10336,2026-03-01 23:00:00,0.7337295472888693,0.00024419830143451726,0.0003347647872260427,30,0.7333333333333333,0.0004632176217281732
CHFJPY,10336,2026-03-01 23:00:00,203.131,0.0003662715326651078,0.11196478892427539,8,0.6333333333333333,0.000446443375069051
CHFUSD,10336,2026-03-01 23:00:00,1.3021511537059225,-0.0008072167309127742,0.0010100603643352162,24,0.16666666666666666,0.0007278248852676746
EURAUD,10336,2026-03-01 23:00:00,1.66034,0.00024591046970390273,0.001308649994371618,29,0.6,0.0007001495036532361
EURCAD,10336,2026-03-01 23:00:00,1.61059,1.3039724878760595e-05,0.000689594359120307,29,0.6,0.0005494310399627425
EURCHF,10336,2026-03-01 23:00:00,0.9076,0.0008116409924652235,0.000627882394943036,30,0.9,0.0007552476306771939
EURGBP,10336,2026-03-01 23:00:00,0.87711,0.0002394606284774614,0.0005847676868809503,20,0.6666666666666666,0.00048654356929375383
EURJPY,10336,2026-03-01 23:00:00,184.368,0.0003151480216154745,0.11127154297949415,18,0.7333333333333333,0.0005796170664259868
EURUSD,10336,2026-03-01 23:00:00,1.18172,-0.0002440784035856458,0.000659614637464668,29,0.4,0.0005093605572391877
GBPAUD,10336,2026-03-01 23:00:00,1.8928,0.00018059696805883263,0.0022189078319697873,29,0.5333333333333333,0.0012980297228301252
GBPJPY,10336,2026-03-01 23:00:00,210.183,-0.0005464633191298862,0.18487877528099134,18,0.26666666666666666,0.0009126986792813808
GBPUSD,10336,2026-03-01 23:00:00,1.3472,8.137258667861857e-05,0.0010835826524646468,28,0.6,0.0006268903423387632
JPYUSD,10336,2026-03-01 23:00:00,0.006409763351537,0.00011398697831688231,6.278595576668453e-06,27,0.5666666666666667,0.0008298733872163706
NZDJPY,10336,2026-03-01 23:00:00,93.569,0.0005384879915100171,0.10082308684437513,29,0.7666666666666667,0.001370790304411367
NZDUSD,10336,2026-03-01 23:00:00,0.59974,-0.0002160171127748578,0.0005858596784822112,29,0.36666666666666664,0.00108176533994636
AUDJPY,10340,2026-03-02 03:00:00,110.089,0.00064131378264487,0.16707193644908402,30,0.6333333333333333,0.0025547190167056638
AUDNZD,10340,2026-03-02 03:00:00,1.18458,-0.0010123633212348881,0.0009151893311315875,10,0.03333333333333333,0.0006842308354776211
AUDUSD,10340,2026-03-02 03:00:00,0.70491,-0.001341678551757819,0.0015423419402757902,29,0.3,0.0016622551894140331
CADJPY,10340,2026-03-02 03:00:00,114.374,-0.00015095680353283125,0.08844044183374938,14,0.26666666666666666,0.0006702234609770737
CADUSD,10340,2026-03-02 03:00:00,0.7329819906324901,9.535777082048114e-05,0.00034312697791692243,30,0.6,0.0004554814853481161
CHFJPY,10340,2026-03-02 03:00:00,203.386,-0.0009380746942544427,0.3235446267623041,27,0.26666666666666666,0.0012381753386711924
CHFUSD,10340,2026-03-02 03:00:00,1.3032712107389548,0.00023500552495314686,0.0015121913912427524,30,0.6,0.0010875887191097787
EURAUD,10340,2026-03-02 03:00:00,1.66885,-0.00025128544390662366,0.002901430905544682,30,0.4,0.0011842691835872853
EURCAD,10340,2026-03-02 03:00:00,1.60564,0.002331206507180106,0.0022395107721376903,30,0.9333333333333333,0.0017537561941821773
EURCHF,10340,2026-03-02 03:00:00,0.90332,0.0006097563483300483,0.0024268035481856587,23,0.5666666666666667,0.0016005595230515095
EURGBP,10340,2026-03-02 03:00:00,0.87732,-0.00038024181960838455,0.0005003244992374793,25,0.16666666666666666,0.000608433640889402
EURJPY,10340,2026-03-02 03:00:00,183.813,0.0006656665994348998,0.2572118107521167,30,0.5,0.0014576143964026929
EURUSD,10340,2026-03-02 03:00:00,1.1775,-0.0010432832559961192,0.0008696412186635205,28,0.06666666666666667,0.0008940069956176613
GBPAUD,10340,2026-03-02 03:00:00,1.90162,0.00029856683826401387,0.003722528573616809,30,0.6,0.001231445861457301
GBPJPY,10340,2026-03-02 03:00:00,209.423,0.0019555144553178305,0.2937494887030212,29,0.9,0.001449538054997572
GBPUSD,10340,2026-03-02 03:00:00,1.34133,0.001994061581242823,0.0015425679017726185,30,0.9333333333333333,0.0014575340247376376
JPYUSD,10340,2026-03-02 03:00:00,0.0064054523210156,0.00029490156938138945,4.919658417132815e-06,27,0.7,0.0008977096744203838
NZDJPY,10340,2026-03-02 03:00:00,92.896,0.00024161512370723948,0.1473740405302697,30,0.5666666666666667,0.0014045075152924527
NZDUSD,10340,2026-03-02 03:00:00,0.59488,0.0007742330797988473,0.0007295552221631286,30,0.8,0.0015140812846695794
AUDJPY,10344,2026-03-02 07:00:00,111.059,-0.0010440018438959697,0.22701095131718355,27,0.26666666666666666,0.0018167512674599684
AUDNZD,10344,2026-03-02 07:00:00,1.18685,-0.0009604646607447309,0.0011719174567072126,10,0.26666666666666666,0.0006716763724210668
AUDUSD,10344,2026-03-02 07:00:00,0.7106,-0.00028264727218030306,0.0008010196162704824,25,0.36666666666666664,0.0012011839566502679
CADJPY,10344,2026-03-02 07:00:00,114.503,-4.547639658258884e-05,0.1047861774814548,19,0.5,0.0008470867193639411
CADUSD,10344,2026-03-02 07:00:00,0.7327510405064775,-0.00023652137184138056,0.0004122435210798292,29,0.36666666666666664,0.00044151232850271084
CHFJPY,10344,2026-03-02 07:00:00,203.382,-0.00021007715264054205,0.31907136955179904,24,0.4666666666666667,0.0011444167096954123
CHFUSD,10344,2026-03-02 07:00:00,1.3015240847031877,-0.00038450497150432916,0.0008713785761251033,24,0.2,0.0008106308046598651
EURAUD,10344,2026-03-02 07:00:00,1.65877,-4.2666325413165396e-05,0.00197578844150132,28,0.43333333333333335,0.0011816567722275752
EURCAD,10344,2026-03-02 07:00:00,1.60875,0.0008059410010246015,0.0008748047515337956,30,0.9,0.0006968910612618444
EURCHF,10344,2026-03-02 07:00:00,0.90578,0.0011300516001142569,0.0008602417129296038,28,0.8,0.0008560765073469513
EURGBP,10344,2026-03-02 07:00:00,0.87676,0.00024248348951783072,0.0003921736009283347,22,0.6333333333333333,0.0004159782610301603
EURJPY,10344,2026-03-02 07:00:00,184.231,0.0005174954509670204,0.13174386452915865,23,0.8666666666666667,0.0009734711059135941
EURUSD,10344,2026-03-02 07:00:00,1.17883,-1.3567815761783564e-05,0.0008273752120711285,30,0.6,0.0005883842429831438
GBPAUD,10344,2026-03-02 07:00:00,1.89176,0.0010147222100918007,0.0022310718759992244,29,0.7666666666666667,0.0012411172159313738
GBPJPY,10344,2026-03-02 07:00:00,210.114,0.0003212868075546105,0.21382639718348284,30,0.7,0.0009076898770454093
GBPUSD,10344,2026-03-02 07:00:00,1.34443,0.0006421510771086325,0.0013450261719991788,29,0.7333333333333333,0.001010159124020932
JPYUSD,10344,2026-03-02 07:00:00,0.0063986486054145,-0.00012567136845909044,7.105137919731583e-06,24,0.4,0.000885226429871737
NZDJPY,10344,2026-03-02 07:00:00,93.559,0.0010377385683348894,0.10385719187050002,29,0.7333333333333333,0.0013482181135647264
NZDUSD,10344,2026-03-02 07:00:00,0.59864,0.0001993074709816245,0.0007732914275196198,30,0.5666666666666667,0.001138003679401565
AUDJPY,10348,2026-03-02 11:00:00,110.864,-0.0014216987843659323,0.17977819531510272,25,0.23333333333333334,0.0017335139554676832
AUDNZD,10348,2026-03-02 11:00:00,1.18721,-0.00013845415251623194,0.001249275013058101,17,0.6,0.000731501920422693
AUDUSD,10348,2026-03-02 11:00:00,0.70664,0.0021491394235870764,0.0011803280791485079,30,0.9,0.0019600198824397575
CADJPY,10348,2026-03-02 11:00:00,114.842,-0.0006506191474732193,0.14674199165579208,25,0.26666666666666666,0.0010879869007808082
CADUSD,10348,2026-03-02 11:00:00,0.7320858590295469,-0.00031825479745861696,0.0003773216836021433,28,0.26666666666666666,0.0006278944726984922
