month_end,pair,country,price,for_policy_rate,for_rate_3m,for_yield_10y,for_curve_slope,for_cpi_yoy_pct,for_unemployment_rate,for_rate_change_3m,us_policy_rate,us_rate_3m,us_yield_10y,us_curve_slope,us_cpi_yoy_pct,us_unemployment_rate,us_rate_change_3m,vix_level,us_equity_1m_return,own_return_1m,own_return_3m,own_return_12m,fwd_logret_1m,y_1m,fwd_logret_3m,y_3m
2002-05-31,EURUSD,EZ,0.9339,3.31,3.46713636363636,5.30314330434783,1.8360069407114699,,,0.027000000000000135,1.75,1.82,5.16,3.34,1.527149321266963,,0.010000000000000009,19.98,-2.002140983542877,3.6752405256839813,7.571543110779191,9.944119777703712,0.053881226663583234,1,0.048795263101460776,1.0
2002-05-31,GBPUSD,GB,1.4625,3.9273,4.1537,5.2689,1.1152000000000006,,,-0.13010000000000055,1.75,1.82,5.16,3.34,1.527149321266963,,0.010000000000000009,19.98,-2.002140983542877,0.411100270652226,3.4502970334249317,3.1252543504104335,0.04151918732229798,1,0.05655804372034645,1.0
2002-05-31,JPYUSD,JP,0.008056070248932571,0.00138,0.08,1.365,1.285,,,0.0003799999999999999,1.75,1.82,5.16,3.34,1.527149321266963,,0.010000000000000009,19.98,-2.002140983542877,3.421032002803681,7.6211844398147655,-4.321482255840703,0.03508844264746269,1,0.04422475363229683,1.0
2002-05-31,NOKUSD,NO,0.12496094970321775,6.78,6.9,6.77,-0.13000000000000078,,,0.020000000000000462,1.75,1.82,5.16,3.34,1.527149321266963,,0.010000000000000009,19.98,-2.002140983542877,4.9072773998697805,10.82616453890286,15.871915466492048,0.061656081423096865,1,0.05998284092275563,1.0
2002-05-31,NZDUSD,NZ,0.479,5.39,5.83,6.81,0.9799999999999995,,,0.6399999999999997,1.75,1.82,5.16,3.34,1.527149321266963,,0.010000000000000009,19.98,-2.002140983542877,6.869467557002573,12.835542842594428,15.969839908538507,0.014508026489578607,1,-0.0234459995387446,0.0
2002-05-31,SEKUSD,SE,0.10262199189286264,2.0,4.29,5.69,1.4000000000000004,,,0.5,1.75,1.82,5.16,3.34,1.527149321266963,,0.010000000000000009,19.98,-2.002140983542877,5.349723674707718,7.1811001602503755,10.19167559901013,0.05673895897423309,1,0.035993334003983524,1.0
2002-06-30,AUDUSD,AU,0.5628,4.72368421052632,5.07,6.00763157894737,0.9376315789473697,,,0.47368421052632037,1.75,1.81,4.93,3.1199999999999997,1.1267605633802802,,0.010000000000000009,25.4,-7.355682534314079,-0.5669752962948915,5.384020763367747,9.851359952186256,-0.0330563828672189,0,-0.03599918432882854,0.0
2002-06-30,CADUSD,CA,0.6583278472679395,2.48379,2.69,5.424,2.7340000000000004,,,0.48819499999999993,1.75,1.81,4.93,3.1199999999999997,1.1267605633802802,,0.010000000000000009,25.4,-7.355682534314079,0.5580188449977652,4.932295427840783,-0.0987979662119387,-0.04221667653520261,0,-0.04335203681863686,0.0
2002-06-30,CHFUSD,CH,0.6702412868632708,1.02,1.14959405,3.299,2.1494059500000002,,,-0.6599999999999999,1.75,1.81,4.93,3.1199999999999997,1.1267605633802802,,0.010000000000000009,25.4,-7.355682534314079,5.051215828096889,11.986605976918717,18.588980322047245,0.005848166434139435,1,0.010917286139439875,1.0
2002-06-30,EURUSD,EZ,0.9856,3.3485,3.464,5.16486755,1.7008675500000003,,,0.06550000000000011,1.75,1.81,4.93,3.1199999999999997,1.1267605633802802,,0.010000000000000009,25.4,-7.355682534314079,5.388122666358323,12.280526476172497,15.107775458679646,-0.0061062677012426615,0,0.0023308852711729257,1.0
2002-06-30,GBPUSD,GB,1.5245,3.5006,4.17758,5.099,0.9214200000000003,,,-0.5568000000000004,1.75,1.81,4.93,3.1199999999999997,1.1267605633802802,,0.010000000000000009,25.4,-7.355682534314079,4.151918732229798,6.74946737255585,7.970932059438985,0.02462061518224712,1,0.029409131914044317,1.0
2002-06-30,JPYUSD,JP,0.008343763037129746,0.0014,0.09,1.328,1.238,,,0.00039999999999999996,1.75,1.81,4.93,3.1199999999999997,1.1267605633802802,,0.010000000000000009,25.4,-7.355682534314079,3.508844264746269,10.184998045776883,3.9910440257224344,0.0006677239209782471,1,-0.01564666218538502,0.0
2002-06-30,NOKUSD,NO,0.13290802764486975,6.85,7.12,6.78,-0.33999999999999986,,,0.08999999999999986,1.75,1.81,4.93,3.1199999999999997,1.1267605633802802,,0.010000000000000009,25.4,-7.355682534314079,6.1656081423096865,16.265847319012792,21.50299165400402,-0.012678458259770764,0,0.015267472130788384,1.0
2002-06-30,NZDUSD,NZ,0.486,5.5,5.96,6.64,0.6799999999999997,,,0.75,1.75,1.81,4.93,3.1199999999999997,1.1267605633802802,,0.010000000000000009,25.4,-7.355682534314079,1.4508026489578607,9.82981785242596,18.306257201867382,-0.03667252222201678,0,-0.03390155167568132,0.0
2002-06-30,SEKUSD,SE,0.10861301183881829,2.0,4.28,5.52,1.2399999999999993,,,0.5,1.75,1.81,4.93,3.1199999999999997,1.1267605633802802,,0.010000000000000009,25.4,-7.355682534314079,5.673895897423309,11.827770589637154,16.705408466316605,-0.03290543644240396,0,-0.00725072166356,0.0
2002-07-31,AUDUSD,AU,0.5445,4.75,4.98,5.85978260869565,0.87978260869565,,,0.5,1.73,1.79,4.65,2.8600000000000003,1.0118043844856484,,-0.020000000000000018,32.03,-10.484237332184222,-3.3056382867218903,1.3497477723932505,6.938649479453318,0.009140831470660915,1,0.018739746067661378,1.0
2002-07-31,CADUSD,CA,0.6311139160618492,2.63122272727273,2.782,5.29045454545455,2.5084545454545504,,,0.5128227272727304,1.73,1.79,4.65,2.8600000000000003,1.0118043844856484,,-0.020000000000000018,32.03,-10.484237332184222,-4.221667653520261,-1.0404204743989565,-3.4347783473291704,0.016545079923583728,1,0.014942258615543436,1.0
2002-07-31,CHFUSD,CH,0.6741724533135576,0.64,1.00306152173913,3.248,2.2449384782608703,,,-0.87,1.73,1.79,4.65,2.8600000000000003,1.0118043844856484,,-0.020000000000000018,32.03,-10.484237332184222,0.5848166434139435,8.914398080822355,15.298464503211251,-0.011662330572377089,0,0.0018894667879207905,1.0
