idx,forecast_time,last_context_time,last_close,p_up,gen_mean,gen_sd,gen_distinct,step_gap_h,ctx_max_gap_h,spans_weekend_gap
57996,2026-03-31 11:00:00+00:00,2026-03-31 10:00:00+00:00,1.14659,0.8666666666666667,1.1468027830123901,0.0005087754689157009,5,1.0,50.0,False
57997,2026-03-31 12:00:00+00:00,2026-03-31 11:00:00+00:00,1.14676,0.4666666666666667,1.1468390226364136,0.0005537921679206192,5,1.0,50.0,False
57998,2026-03-31 13:00:00+00:00,2026-03-31 12:00:00+00:00,1.14586,0.6,1.1462808847427368,0.0007635660585947335,9,1.0,50.0,False
57999,2026-03-31 14:00:00+00:00,2026-03-31 13:00:00+00:00,1.14904,0.4,1.1486719846725464,0.0008094339282251894,12,1.0,50.0,False
58000,2026-03-31 15:00:00+00:00,2026-03-31 14:00:00+00:00,1.15027,0.4,1.149801254272461,0.0009786088485270739,14,1.0,50.0,False
58001,2026-03-31 16:00:00+00:00,2026-03-31 15:00:00+00:00,1.15318,0.3,1.1527305841445923,0.0008345689857378602,15,1.0,50.0,False
58002,2026-03-31 17:00:00+00:00,2026-03-31 16:00:00+00:00,1.15208,0.6,1.1520824432373047,0.0005838167271576822,10,1.0,50.0,False
58003,2026-03-31 18:00:00+00:00,2026-03-31 17:00:00+00:00,1.15167,0.6333333333333333,1.1519107818603516,0.0005402164533734322,14,1.0,50.0,False
58004,2026-03-31 19:00:00+00:00,2026-03-31 18:00:00+00:00,1.15399,0.23333333333333334,1.1538918018341064,0.0008170884102582932,14,1.0,50.0,False
58005,2026-03-31 20:00:00+00:00,2026-03-31 19:00:00+00:00,1.15393,0.5,1.1537820100784302,0.00039597987779416144,15,1.0,50.0,False
58006,2026-03-31 21:00:00+00:00,2026-03-31 20:00:00+00:00,1.15443,0.5666666666666667,1.154408574104309,0.00037287536542862654,11,1.0,50.0,False
58007,2026-03-31 22:00:00+00:00,2026-03-31 21:00:00+00:00,1.15585,0.0,1.1550438404083252,0.00041704479372128844,11,1.0,50.0,False
58008,2026-03-31 23:00:00+00:00,2026-03-31 22:00:00+00:00,1.15519,0.1,1.1549477577209473,0.00041290183435194194,8,1.0,50.0,False
58009,2026-04-01 00:00:00+00:00,2026-03-31 23:00:00+00:00,1.15528,0.1,1.1546759605407715,0.0006361535051837564,15,1.0,50.0,False
58010,2026-04-01 01:00:00+00:00,2026-04-01 00:00:00+00:00,1.15582,0.13333333333333333,1.1551402807235718,0.0006696896743960679,20,1.0,50.0,False
58011,2026-04-01 02:00:00+00:00,2026-04-01 01:00:00+00:00,1.15733,0.23333333333333334,1.1567479372024536,0.0007770482916384935,8,1.0,50.0,False
58012,2026-04-01 03:00:00+00:00,2026-04-01 02:00:00+00:00,1.15741,0.43333333333333335,1.1570713520050049,0.0006149355904199183,6,1.0,50.0,False
58013,2026-04-01 04:00:00+00:00,2026-04-01 03:00:00+00:00,1.15615,0.03333333333333333,1.1556916236877441,0.0003735045902431011,11,1.0,50.0,False
58014,2026-04-01 05:00:00+00:00,2026-04-01 04:00:00+00:00,1.15683,0.3333333333333333,1.1566342115402222,0.0005529719055630267,5,1.0,50.0,False
58015,2026-04-01 06:00:00+00:00,2026-04-01 05:00:00+00:00,1.15605,0.43333333333333335,1.155970811843872,0.0006289479206316173,14,1.0,50.0,False
58016,2026-04-01 07:00:00+00:00,2026-04-01 06:00:00+00:00,1.1565,0.3,1.1564056873321533,0.0006708843284286559,11,1.0,50.0,False
58017,2026-04-01 08:00:00+00:00,2026-04-01 07:00:00+00:00,1.15673,0.16666666666666666,1.1564267873764038,0.0004116229829378426,8,1.0,50.0,False
58018,2026-04-01 09:00:00+00:00,2026-04-01 08:00:00+00:00,1.15906,0.06666666666666667,1.158272385597229,0.0005354637978598475,7,1.0,50.0,False
58019,2026-04-01 10:00:00+00:00,2026-04-01 09:00:00+00:00,1.15817,0.2,1.1576350927352905,0.000646294851321727,10,1.0,50.0,False
58020,2026-04-01 11:00:00+00:00,2026-04-01 10:00:00+00:00,1.15958,0.7333333333333333,1.1598961353302002,0.0006995269213803113,11,1.0,50.0,False
58021,2026-04-01 12:00:00+00:00,2026-04-01 11:00:00+00:00,1.1595,0.26666666666666666,1.1590086221694946,0.0008140093414112926,16,1.0,50.0,False
58022,2026-04-01 13:00:00+00:00,2026-04-01 12:00:00+00:00,1.15993,0.36666666666666664,1.1595944166183472,0.0008759047486819327,17,1.0,50.0,False
58023,2026-04-01 14:00:00+00:00,2026-04-01 13:00:00+00:00,1.16071,0.43333333333333335,1.1605935096740723,0.0009132972918450832,16,1.0,50.0,False
58024,2026-04-01 15:00:00+00:00,2026-04-01 14:00:00+00:00,1.1604,0.5333333333333333,1.1605762243270874,0.000996350427158177,17,1.0,50.0,False
58025,2026-04-01 16:00:00+00:00,2026-04-01 15:00:00+00:00,1.16113,0.36666666666666664,1.1607444286346436,0.0004632212803699076,8,1.0,50.0,False
58026,2026-04-01 17:00:00+00:00,2026-04-01 16:00:00+00:00,1.16225,0.0,1.1611988544464111,0.0007260501733981073,12,1.0,50.0,False
58027,2026-04-01 18:00:00+00:00,2026-04-01 17:00:00+00:00,1.16135,0.3333333333333333,1.1609429121017456,0.0007758085266686976,15,1.0,50.0,False
58028,2026-04-01 19:00:00+00:00,2026-04-01 18:00:00+00:00,1.16186,0.2,1.1613925695419312,0.0005463451379910111,10,1.0,50.0,False
58029,2026-04-01 20:00:00+00:00,2026-04-01 19:00:00+00:00,1.15937,0.5666666666666667,1.1594728231430054,0.0007633807836100459,12,1.0,50.0,False
58030,2026-04-01 21:00:00+00:00,2026-04-01 20:00:00+00:00,1.15781,0.4,1.1576756238937378,0.0006069343653507531,14,1.0,50.0,False
58031,2026-04-01 22:00:00+00:00,2026-04-01 21:00:00+00:00,1.15831,0.3333333333333333,1.158203125,0.0004944682586938143,8,1.0,50.0,False
58032,2026-04-01 23:00:00+00:00,2026-04-01 22:00:00+00:00,1.15887,0.5666666666666667,1.1586241722106934,0.00045854164636693895,7,1.0,50.0,False
58033,2026-04-02 00:00:00+00:00,2026-04-01 23:00:00+00:00,1.15872,0.4666666666666667,1.15834641456604,0.0005082613206468523,9,1.0,50.0,False
58034,2026-04-02 01:00:00+00:00,2026-04-02 00:00:00+00:00,1.15906,0.4666666666666667,1.1589272022247314,0.000701862561982125,9,1.0,50.0,False
58035,2026-04-02 02:00:00+00:00,2026-04-02 01:00:00+00:00,1.15893,0.8333333333333334,1.1590259075164795,0.00042671870323829353,7,1.0,50.0,False
58036,2026-04-02 03:00:00+00:00,2026-04-02 02:00:00+00:00,1.15952,0.16666666666666666,1.1591293811798096,0.0005137746338732541,7,1.0,50.0,False
58037,2026-04-02 04:00:00+00:00,2026-04-02 03:00:00+00:00,1.15517,0.6333333333333333,1.1555308103561401,0.0009627277031540871,14,1.0,50.0,False
58038,2026-04-02 05:00:00+00:00,2026-04-02 04:00:00+00:00,1.15464,0.8666666666666667,1.1552001237869263,0.0004758484137710184,12,1.0,50.0,False
58039,2026-04-02 06:00:00+00:00,2026-04-02 05:00:00+00:00,1.15394,0.6,1.154219150543213,0.0008199047879315913,21,1.0,50.0,False
58040,2026-04-02 07:00:00+00:00,2026-04-02 06:00:00+00:00,1.15365,0.8,1.1542848348617554,0.0006888987845741212,20,1.0,50.0,False
58041,2026-04-02 08:00:00+00:00,2026-04-02 07:00:00+00:00,1.15249,0.9333333333333333,1.1533044576644897,0.0007257038378156722,13,1.0,50.0,False
58042,2026-04-02 09:00:00+00:00,2026-04-02 08:00:00+00:00,1.1534,0.5,1.1532599925994873,0.0006851107464171946,15,1.0,50.0,False
58043,2026-04-02 10:00:00+00:00,2026-04-02 09:00:00+00:00,1.15321,0.5333333333333333,1.1532398462295532,0.0005150882061570883,12,1.0,50.0,False
58044,2026-04-02 11:00:00+00:00,2026-04-02 10:00:00+00:00,1.1525,0.5666666666666667,1.1524872779846191,0.0006969540845602751,12,1.0,50.0,False
58045,2026-04-02 12:00:00+00:00,2026-04-02 11:00:00+00:00,1.15259,0.23333333333333334,1.1521323919296265,0.000778507674112916,17,1.0,50.0,False
58046,2026-04-02 13:00:00+00:00,2026-04-02 12:00:00+00:00,1.15118,0.6333333333333333,1.1514935493469238,0.0007483393419533968,13,1.0,50.0,False
58047,2026-04-02 14:00:00+00:00,2026-04-02 13:00:00+00:00,1.15173,0.4,1.1512268781661987,0.0009412662475369871,14,1.0,50.0,False
58048,2026-04-02 15:00:00+00:00,2026-04-02 14:00:00+00:00,1.1524,0.4666666666666667,1.1523724794387817,0.0008440931560471654,19,1.0,50.0,False
58049,2026-04-02 16:00:00+00:00,2026-04-02 15:00:00+00:00,1.15308,0.4,1.1529427766799927,0.0006572179845534265,11,1.0,50.0,False
58050,2026-04-02 17:00:00+00:00,2026-04-02 16:00:00+00:00,1.15508,0.5,1.1551209688186646,0.000593164237216115,11,1.0,50.0,False
58051,2026-04-02 18:00:00+00:00,2026-04-02 17:00:00+00:00,1.15447,0.6333333333333333,1.154550313949585,0.0004722799640148878,14,1.0,50.0,False
58052,2026-04-02 19:00:00+00:00,2026-04-02 18:00:00+00:00,1.15387,0.3,1.1535286903381348,0.000435517868027091,10,1.0,50.0,False
58053,2026-04-02 20:00:00+00:00,2026-04-02 19:00:00+00:00,1.15372,0.4,1.1537655591964722,0.00035984208807349205,13,1.0,50.0,False
58054,2026-04-02 21:00:00+00:00,2026-04-02 20:00:00+00:00,1.15355,0.36666666666666664,1.153313398361206,0.0004505945253185928,11,1.0,50.0,False
