variant,head,slice,subset,n,mean_predicted,realised,p_low,p_high,gap
with_macro,lstm,validation[70:80],all,85,0.525645241316627,0.43529411764705883,0.5187829732894897,0.5332150459289551,0.09035112366956821
with_macro,lstm,validation[70:80],all,86,0.5493363252905912,0.5465116279069767,0.533342182636261,0.5981175303459167,0.0028246973836144607
with_macro,lstm,validation[70:80],>=0.52,48,0.4105775921295087,0.4375,0.35430002212524414,0.42628559470176697,-0.026922407870491327
with_macro,lstm,validation[70:80],>=0.52,47,0.43470171474395913,0.5319148936170213,0.42647498846054077,0.4415798783302307,-0.09721317887306213
with_macro,lstm,validation[70:80],>=0.52,48,0.44933913834393024,0.5625,0.44194111227989197,0.4549533724784851,-0.11316086165606976
with_macro,lstm,validation[70:80],>=0.52,47,0.4588139336159889,0.5957446808510638,0.4555142819881439,0.462557315826416,-0.13693074723507492
with_macro,lstm,validation[70:80],>=0.52,48,0.46625255420804024,0.625,0.4626809060573578,0.46967652440071106,-0.15874744579195976
with_macro,lstm,validation[70:80],>=0.52,47,0.47304543218714123,0.5531914893617021,0.4697739779949188,0.476364403963089,-0.08014605717456091
with_macro,lstm,validation[70:80],>=0.52,47,0.49733204727477215,0.5106382978723404,0.47641584277153015,0.5232486128807068,-0.013306250597568237
with_macro,lstm,validation[70:80],>=0.52,48,0.5271772307654222,0.4375,0.5233815312385559,0.5311239957809448,0.08967723076542222
with_macro,lstm,validation[70:80],>=0.52,47,0.537592498545951,0.48936170212765956,0.5312474966049194,0.5452635884284973,0.04823079641829148
with_macro,lstm,validation[70:80],>=0.52,48,0.5576271650691828,0.5833333333333334,0.5453956723213196,0.5981175303459167,-0.02570616826415062
with_macro,consensus,validation[70:80],all,86,0.4370667106190393,0.5348837209302325,0.38328009843826294,0.4529331624507904,-0.09781701031119322
with_macro,consensus,validation[70:80],all,86,0.46046816419030345,0.6046511627906976,0.453071653842926,0.4660440981388092,-0.14418299860039419
with_macro,consensus,validation[70:80],all,85,0.4709451822673573,0.5176470588235295,0.4661101996898651,0.4757948964834213,-0.04670187655617214
with_macro,consensus,validation[70:80],all,86,0.4794654340245003,0.4883720930232558,0.4759640395641327,0.48382458090782166,-0.008906658998755479
with_macro,consensus,validation[70:80],all,85,0.4904347994748284,0.4823529411764706,0.48389536142349243,0.502595990896225,0.00808185829835778
with_macro,consensus,validation[70:80],all,86,0.5081655241029207,0.5232558139534884,0.5032317638397217,0.5108223557472229,-0.015090289850567706
with_macro,consensus,validation[70:80],all,85,0.5123506914166843,0.5294117647058824,0.5109020471572876,0.5142297446727753,-0.017061073289198037
with_macro,consensus,validation[70:80],all,86,0.516495966634085,0.5,0.5142874717712402,0.5191432237625122,0.016495966634085035
with_macro,consensus,validation[70:80],all,85,0.522298078326618,0.5529411764705883,0.5192473828792572,0.5259963572025299,-0.03064309814397026
with_macro,consensus,validation[70:80],all,86,0.5349606438431629,0.5232558139534884,0.5260541141033173,0.576593279838562,0.011704829889674473
with_macro,consensus,validation[70:80],>=0.52,47,0.4282113050526761,0.5319148936170213,0.38328009843826294,0.44125282764434814,-0.1037035885643452
with_macro,consensus,validation[70:80],>=0.52,47,0.44882546111624294,0.574468085106383,0.4415798783302307,0.4549533724784851,-0.1256426239901401
with_macro,consensus,validation[70:80],>=0.52,46,0.45882777642944583,0.4782608695652174,0.4552547037601471,0.46229249238967896,-0.019433093135771573
with_macro,consensus,validation[70:80],>=0.52,47,0.4651671007592627,0.6595744680851063,0.46240025758743286,0.46761640906333923,-0.19440736732584363
with_macro,consensus,validation[70:80],>=0.52,47,0.47041104797353134,0.5106382978723404,0.46764805912971497,0.4735327214002609,-0.04022724989880905
with_macro,consensus,validation[70:80],>=0.52,46,0.4757343806002451,0.41304347826086957,0.4736595153808594,0.4774402678012848,0.06269090233937552
with_macro,consensus,validation[70:80],>=0.52,54,0.5014414293346582,0.5925925925925926,0.4777586758136749,0.5213794112205505,-0.09115116325793438
with_macro,consensus,validation[70:80],>=0.52,39,0.5231060821276444,0.5128205128205128,0.5214100480079651,0.5254082977771759,0.010285569307131648
with_macro,consensus,validation[70:80],>=0.52,47,0.5283526549948022,0.48936170212765956,0.5255782902240753,0.5328785479068756,0.03899095286714266
with_macro,consensus,validation[70:80],>=0.52,47,0.5400087243699013,0.5531914893617021,0.5329643785953522,0.576593279838562,-0.013182764991800822
with_macro,gbm,test[80:100],all,172,0.4615878164768219,0.5,0.39802423119544983,0.4771614074707031,-0.0384121835231781
with_macro,gbm,test[80:100],all,171,0.4824039041996002,0.5146198830409356,0.4772699773311615,0.48756271600723267,-0.032215978841335424
with_macro,gbm,test[80:100],all,182,0.4923103153705597,0.4065934065934066,0.4877036511898041,0.4964205026626587,0.0857169087771531
with_macro,gbm,test[80:100],all,166,0.5011405944824219,0.4879518072289157,0.49652934074401855,0.5046803951263428,0.013188787253506196
with_macro,gbm,test[80:100],all,166,0.5060749053955078,0.4879518072289157,0.5047928094863892,0.5087853074073792,0.018123098166592133
with_macro,gbm,test[80:100],all,234,0.5108343958854675,0.3974358974358974,0.5089380741119385,0.511607825756073,0.11339849844957012
