scale,arm,horizon,model,seed,profit_accuracy,n_transactions,n_test_rows,transaction_rate,accuracy_3class,threshold_scope,threshold_tau,threshold_upper_bound,iter_selection_block,hybrid_selection_block,iters_self,iters_me,iters_ti,min_conf,tie_break
primary,A4,1,TI_LSTM,45,0.49557522123893805,226,243,0.9300411522633745,0.3374485596707819,full_series,0.00226,0.009539999999999882,test,test,50,,,,
primary,A4,1,ME_TI_LSTM,45,0.3617021276595745,47,243,0.1934156378600823,0.3292181069958848,full_series,0.00226,0.009539999999999882,test,test,50,,,,
primary,A4,1,HYBRID,45,,0,243,0.0,0.3292181069958848,full_series,0.00226,0.009539999999999882,test,test,,50,50,0.0,ti
primary,A0,1,ME_LSTM,46,0.49382716049382713,243,243,1.0,0.3292181069958848,train_only,0.0023,0.009539999999999882,val,val,50,,,,
primary,A0,1,TI_LSTM,46,0.51,200,243,0.823045267489712,0.37448559670781895,train_only,0.0023,0.009539999999999882,val,val,50,,,,
primary,A0,1,ME_TI_LSTM,46,0.4976303317535545,211,243,0.8683127572016461,0.3333333333333333,train_only,0.0023,0.009539999999999882,val,val,150,,,,
primary,A0,1,HYBRID,46,0.495,200,243,0.823045267489712,0.36213991769547327,train_only,0.0023,0.009539999999999882,val,val,,50,50,0.45,ti
primary,A1,1,ME_LSTM,46,0.5020576131687243,243,243,1.0,0.3333333333333333,full_series,0.00226,0.009539999999999882,val,val,50,,,,
primary,A1,1,TI_LSTM,46,0.51,200,243,0.823045267489712,0.3786008230452675,full_series,0.00226,0.009539999999999882,val,val,50,,,,
primary,A1,1,ME_TI_LSTM,46,0.5104602510460251,239,243,0.9835390946502057,0.3333333333333333,full_series,0.00226,0.009539999999999882,val,val,50,,,,
primary,A1,1,HYBRID,46,0.515625,64,243,0.26337448559670784,0.3786008230452675,full_series,0.00226,0.009539999999999882,val,val,,50,50,0.5,ti
primary,A2,1,ME_LSTM,46,0.49382716049382713,243,243,1.0,0.3292181069958848,train_only,0.0023,0.009539999999999882,test,val,50,,,,
primary,A2,1,TI_LSTM,46,0.51,200,243,0.823045267489712,0.37448559670781895,train_only,0.0023,0.009539999999999882,test,val,50,,,,
primary,A2,1,ME_TI_LSTM,46,0.4976303317535545,211,243,0.8683127572016461,0.3333333333333333,train_only,0.0023,0.009539999999999882,test,val,150,,,,
primary,A2,1,HYBRID,46,0.495,200,243,0.823045267489712,0.36213991769547327,train_only,0.0023,0.009539999999999882,test,val,,50,50,0.45,ti
primary,A3,1,ME_LSTM,46,0.49382716049382713,243,243,1.0,0.3292181069958848,train_only,0.0023,0.009539999999999882,val,test,50,,,,
primary,A3,1,TI_LSTM,46,0.51,200,243,0.823045267489712,0.37448559670781895,train_only,0.0023,0.009539999999999882,val,test,50,,,,
primary,A3,1,ME_TI_LSTM,46,0.4976303317535545,211,243,0.8683127572016461,0.3333333333333333,train_only,0.0023,0.009539999999999882,val,test,150,,,,
primary,A3,1,HYBRID,46,0.49624060150375937,133,243,0.5473251028806584,0.35390946502057613,train_only,0.0023,0.009539999999999882,val,test,,50,50,0.7,ti
primary,A4,1,ME_LSTM,46,0.5020576131687243,243,243,1.0,0.3333333333333333,full_series,0.00226,0.009539999999999882,test,test,50,,,,
primary,A4,1,TI_LSTM,46,0.51,200,243,0.823045267489712,0.3786008230452675,full_series,0.00226,0.009539999999999882,test,test,50,,,,
