record,scale,arm,horizon,model,comparison,profit_accuracy_mean,profit_accuracy_sd,n_transactions_mean,transaction_rate_mean,n_test_rows,n_seeds,delta,ci_low,ci_high,distinguishable_from_zero
gap,primary,A2,1,ME_LSTM,A2-A0,,,,,243,5,0.014204603238713476,0.0020031352236709018,0.029868753515055874,yes
gap,primary,A3,1,ME_LSTM,A3-A0,,,,,243,5,0.0,0.0,0.0,no
gap,primary,A4,1,ME_LSTM,A4-A0,,,,,243,5,0.015661219027052364,-0.08916237530179892,0.11893942395721405,no
gap,primary,A1,1,TI_LSTM,A1-A0,,,,,243,5,0.003649635036496235,-0.027560815859101116,0.042249500640928465,no
gap,primary,A2,1,TI_LSTM,A2-A0,,,,,243,5,0.0210914955016126,0.00034547293304162404,0.041431557186366055,yes
gap,primary,A3,1,TI_LSTM,A3-A0,,,,,243,5,0.0,0.0,0.0,no
gap,primary,A4,1,TI_LSTM,A4-A0,,,,,243,5,0.003649635036496235,-0.027560815859101116,0.042249500640928465,no
gap,primary,A1,1,ME_TI_LSTM,A1-A0,,,,,243,5,0.007558674922968467,-0.0438228767102918,0.05738643093775998,no
gap,primary,A2,1,ME_TI_LSTM,A2-A0,,,,,243,5,0.019644925627161247,0.0005651964129107887,0.04037126041114838,yes
gap,primary,A3,1,ME_TI_LSTM,A3-A0,,,,,243,5,0.0,0.0,0.0,no
gap,primary,A4,1,ME_TI_LSTM,A4-A0,,,,,243,5,0.012230863738479036,-0.03395822153874933,0.055476391268150356,no
gap,primary,A1,1,HYBRID,A1-A0,,,,,243,5,0.01244703209701864,-0.07337542892649382,0.10165258091789149,no
gap,primary,A2,1,HYBRID,A2-A0,,,,,243,5,0.015703270214583342,-0.01654320096791322,0.046120175932714426,no
gap,primary,A3,1,HYBRID,A3-A0,,,,,243,5,0.01519347725630421,-0.006263587919863041,0.0405661377377351,no
gap,primary,A4,1,HYBRID,A4-A0,,,,,243,5,0.04765743118931792,-0.04999199793150517,0.1349631228952333,no
gap,primary,A1,3,ME_LSTM,A1-A0,,,,,243,5,0.0,0.0,0.0,no
gap,primary,A2,3,ME_LSTM,A2-A0,,,,,243,5,0.0,0.0,0.0,no
gap,primary,A3,3,ME_LSTM,A3-A0,,,,,243,5,0.0,0.0,0.0,no
gap,primary,A4,3,ME_LSTM,A4-A0,,,,,243,5,0.0,0.0,0.0,no
gap,primary,A1,3,TI_LSTM,A1-A0,,,,,243,5,0.0,0.0,0.0,no
gap,primary,A2,3,TI_LSTM,A2-A0,,,,,243,5,0.0,0.0,0.0,no
gap,primary,A3,3,TI_LSTM,A3-A0,,,,,243,5,0.0,0.0,0.0,no
gap,primary,A4,3,TI_LSTM,A4-A0,,,,,243,5,0.0,0.0,0.0,no
gap,primary,A1,3,ME_TI_LSTM,A1-A0,,,,,243,5,-0.0057453793774318584,-0.038986248089762136,0.03169787060072394,no
gap,primary,A2,3,ME_TI_LSTM,A2-A0,,,,,243,5,0.006474656704361814,-0.007404253392660672,0.019856999306475217,no
gap,primary,A3,3,ME_TI_LSTM,A3-A0,,,,,243,5,0.0,0.0,0.0,no
gap,primary,A4,3,ME_TI_LSTM,A4-A0,,,,,243,5,-0.0057453793774318584,-0.038986248089762136,0.03169787060072394,no
gap,primary,A1,3,HYBRID,A1-A0,,,,,243,5,0.0,0.0,0.0,no
gap,primary,A2,3,HYBRID,A2-A0,,,,,243,5,0.0,0.0,0.0,no
gap,primary,A3,3,HYBRID,A3-A0,,,,,243,5,0.061100248844649985,0.017020659524616195,0.10572552183341362,yes
gap,primary,A4,3,HYBRID,A4-A0,,,,,243,5,0.061100248844649985,0.017020659524616195,0.10572552183341362,yes
gap,primary,A1,5,ME_LSTM,A1-A0,,,,,242,5,0.0,0.0,0.0,no
gap,primary,A2,5,ME_LSTM,A2-A0,,,,,242,5,0.0,0.0,0.0,no
gap,primary,A3,5,ME_LSTM,A3-A0,,,,,242,5,0.0,0.0,0.0,no
gap,primary,A4,5,ME_LSTM,A4-A0,,,,,242,5,0.0,0.0,0.0,no
gap,primary,A1,5,TI_LSTM,A1-A0,,,,,242,5,0.0,0.0,0.0,no
gap,primary,A2,5,TI_LSTM,A2-A0,,,,,242,5,0.0,0.0,0.0,no
gap,primary,A3,5,TI_LSTM,A3-A0,,,,,242,5,0.0,0.0,0.0,no
gap,primary,A4,5,TI_LSTM,A4-A0,,,,,242,5,0.0,0.0,0.0,no
gap,primary,A1,5,ME_TI_LSTM,A1-A0,,,,,242,5,0.0,0.0,0.0,no
gap,primary,A2,5,ME_TI_LSTM,A2-A0,,,,,242,5,0.0,0.0,0.0,no
gap,primary,A3,5,ME_TI_LSTM,A3-A0,,,,,242,5,0.0,0.0,0.0,no
gap,primary,A4,5,ME_TI_LSTM,A4-A0,,,,,242,5,0.0,0.0,0.0,no
gap,primary,A1,5,HYBRID,A1-A0,,,,,242,5,0.0,0.0,0.0,no
gap,primary,A2,5,HYBRID,A2-A0,,,,,242,5,0.0,0.0,0.0,no
gap,primary,A3,5,HYBRID,A3-A0,,,,,242,5,0.06549522552944081,0.012177875674110415,0.1115390269248071,yes
gap,primary,A4,5,HYBRID,A4-A0,,,,,242,5,0.06549522552944081,0.012177875674110415,0.1115390269248071,yes
gap,secondary,A1,1,ME_LSTM,A1-A0,,,,,1437,5,0.007645629514784924,-0.00883629814609035,0.024161910824756022,no
gap,secondary,A2,1,ME_LSTM,A2-A0,,,,,1437,5,0.0035667681600696777,-0.017479271674193313,0.026192797117878915,no
gap,secondary,A3,1,ME_LSTM,A3-A0,,,,,1437,5,0.0,0.0,0.0,no
