month_end,pair,country,asof,price,eur_dem_splice,for_policy_rate,for_rate_3m,for_yield_10y,for_curve_slope,for_rate_change_3m,for_rate_change_12m,us_policy_rate,us_rate_3m,us_yield_10y,us_curve_slope,us_rate_change_3m,us_rate_change_12m,vix_level,us_equity_12m_return,own_return_1m,own_return_3m,own_return_12m,fwd_logret_1m,y
2015-07-31,GBPUSD,GB,2015-07-31,1.5634,0,0.4549,0.58084,2.1353,1.55446,-0.0024999999999999467,0.026600000000000013,0.13,0.19,2.32,2.13,0.010000000000000009,0.04000000000000001,12.12,-1.1504956384978615,-0.5930950710449745,1.976680856963392,-7.721449263764568,-0.017486008649615692,0
2015-07-31,JPYUSD,JP,2015-07-31,0.008068420203324189,0,0.07,0.169,0.41,0.24099999999999996,0.010000000000000009,0.0,0.13,0.19,2.32,2.13,0.010000000000000009,0.04000000000000001,12.12,-1.1504956384978615,-1.4957196417302754,-3.347318250392206,-18.749872415761715,0.02186057689037657,1
2015-07-31,NOKUSD,NO,2015-07-31,0.12290145761128728,0,0.98,1.27,1.7,0.42999999999999994,-0.26,-0.51,0.13,0.19,2.32,2.13,0.010000000000000009,0.04000000000000001,12.12,-1.1504956384978615,-3.4916639425458307,-7.24435705902402,-25.82065602976069,-0.022566256597857492,0
2015-07-31,NZDUSD,NZ,2015-07-31,0.6625,0,3.07,3.13,3.47,0.3400000000000003,-0.3700000000000001,-0.20999999999999996,0.13,0.19,2.32,2.13,0.010000000000000009,0.04000000000000001,12.12,-1.1504956384978615,-2.2831701312573616,-13.611296316234528,-24.803862845097,-0.042553051683973,0
2015-07-31,SEKUSD,SE,2015-07-31,0.11638056444573756,0,-0.23,-0.48,0.81,1.29,-0.08000000000000002,-0.71,0.13,0.19,2.32,2.13,0.010000000000000009,0.04000000000000001,12.12,-1.1504956384978615,-3.5393539297664756,-2.530437954778453,-21.997719912122072,0.01382807526587948,1
2015-08-31,AUDUSD,AU,2015-08-31,0.71,0,2.0,2.14,2.738,0.5979999999999999,-0.040000000000000036,-0.5,0.14,0.26,2.17,1.91,0.020000000000000018,0.05000000000000002,28.43,-2.844780376722178,-3.215354593018888,-7.5786642880186825,-27.463964203860158,-0.011331566009549987,0
2015-08-31,CADUSD,CA,2015-08-31,0.7562580352416244,0,0.50731,0.385,1.3915,1.0065,-0.22730499999999998,-0.49287000000000003,0.14,0.26,2.17,1.91,0.020000000000000018,0.05000000000000002,28.43,-2.844780376722178,-1.339951529107486,-5.8952799188027125,-19.705560209142654,-0.012998417357272196,0
2015-08-31,CHFUSD,CH,2015-08-31,1.0329511414110113,0,-1.25,-0.78125,-0.124,0.65725,0.0,-1.15,0.14,0.26,2.17,1.91,0.020000000000000018,0.05000000000000002,28.43,-2.844780376722178,-0.4659116985309498,-2.903007106011134,-5.379180556295426,-0.009458279618764262,0
2015-08-31,EURUSD,EZ,2015-08-31,1.1194,0,-0.1213,-0.0276666666666667,1.38766695750168,1.4153336241683467,-0.0155,-0.1392,0.14,0.26,2.17,1.91,0.020000000000000018,0.05000000000000002,28.43,-2.844780376722178,1.4940427307617479,1.802825103069923,-16.104383815460576,-0.0028627681029258917,0
2015-08-31,GBPUSD,GB,2015-08-31,1.5363,0,0.459,0.5867,1.9799,1.3932,-0.0030000000000000027,0.03620000000000001,0.14,0.26,2.17,1.91,0.020000000000000018,0.05000000000000002,28.43,-2.844780376722178,-1.7486008649615692,0.5024644327830619,-7.65366512504928,-0.01620823566128038,0
2015-08-31,JPYUSD,JP,2015-08-31,0.008246742536698003,0,0.08,0.169,0.38,0.211,0.009999999999999995,0.009999999999999995,0.14,0.26,2.17,1.91,0.020000000000000018,0.05000000000000002,28.43,-2.844780376722178,2.186057689037657,2.218326163018869,-15.354610150221237,0.012029845991777144,1
2015-08-31,NOKUSD,NO,2015-08-31,0.12015909063600207,0,0.99,1.2,1.49,0.29000000000000004,-0.26,-0.5,0.14,0.26,2.17,1.91,0.020000000000000018,0.05000000000000002,28.43,-2.844780376722178,-2.2566256597857492,-6.680408179008257,-29.69086666913725,-0.024169930507097703,0
2015-08-31,NZDUSD,NZ,2015-08-31,0.6349,0,2.9,2.95,3.29,0.33999999999999986,-0.5100000000000002,-0.5500000000000003,0.14,0.26,2.17,1.91,0.020000000000000018,0.05000000000000002,28.43,-2.844780376722178,-4.2553051683972996,-11.334556071306794,-27.599807712514867,0.0064369482011305545,1
2015-08-31,SEKUSD,SE,2015-08-31,0.11800106200955808,0,-0.25,-0.46,0.66,1.12,-0.1,-0.6,0.14,0.26,2.17,1.91,0.020000000000000018,0.05000000000000002,28.43,-2.844780376722178,1.382807526587948,0.588271594717682,-19.468631694079065,0.009878116810715376,1
2015-09-30,AUDUSD,AU,2015-09-30,0.702,0,2.0,2.17,2.724,0.5540000000000003,0.0,-0.5,0.14,0.27,2.17,1.9,0.010000000000000009,0.05000000000000002,24.5,-8.950061481874327,-1.1331566009549987,-9.297645645810471,-21.88036632782379,0.01596868525818146,1
2015-09-30,CADUSD,CA,2015-09-30,0.7464914899970141,0,0.500804761904762,0.4,1.48142857142857,1.08142857142857,-0.24387251082251105,-0.498528571428571,0.14,0.27,2.17,1.9,0.010000000000000009,0.05000000000000002,24.5,-8.950061481874327,-1.2998417357272196,-7.1389846788385976,-17.841757186206717,0.023718915392937023,1
2015-09-30,CHFUSD,CH,2015-09-30,1.0232272587741738,0,-1.0,-0.756176166666667,-0.1,0.656176166666667,0.1499999999999999,-0.9,0.14,0.27,2.17,1.9,0.010000000000000009,0.05000000000000002,24.5,-8.950061481874327,-0.9458279618764263,-4.46750370784642,-2.2663566388928476,-0.008659826926487335,0
2015-09-30,EURUSD,EZ,2015-09-30,1.1162,0,-0.1357,-0.0370454545454546,1.47989808053635,1.5169435350818046,-0.017199999999999993,-0.14229999999999998,0.14,0.27,2.17,1.9,0.010000000000000009,0.05000000000000002,24.5,-8.950061481874327,-0.28627681029258917,0.07169743988799798,-12.340141832950327,-0.010808968504388963,0
2015-09-30,GBPUSD,GB,2015-09-30,1.5116,0,0.4544,0.58576,1.8814,1.2956400000000001,-0.0021999999999999797,0.02250000000000002,0.14,0.27,2.17,1.9,0.010000000000000009,0.05000000000000002,24.5,-8.950061481874327,-1.620823566128038,-3.9625195021345814,-7.049126320002435,0.021531540883302447,1
2015-09-30,JPYUSD,JP,2015-09-30,0.008346548702111677,0,0.07,0.169,0.35,0.18099999999999997,0.0,0.0,0.14,0.27,2.17,1.9,0.010000000000000009,0.05000000000000002,24.5,-8.950061481874327,1.2029845991777144,1.893322646485096,-8.852248467590584,-0.007400973451678006,0
2015-09-30,NOKUSD,NO,2015-09-30,0.11728967029873678,0,0.94,1.16,1.6,0.44000000000000017,-0.20999999999999996,-0.56,0.14,0.27,2.17,1.9,0.010000000000000009,0.05000000000000002,24.5,-8.950061481874327,-2.4169930507097703,-8.16528265304135,-28.103046130776477,0.007251270722556935,1
